geographicAreaM49,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
156,8.29705E+11,9.06557E+11,1.03551E+12,1.17928E+12,1.33302E+12,1.47904E+12,1.6258E+12,1.77596E+12,1.91531E+12,2.06205E+12,2.23712E+12,2.4236E+12,2.64496E+12,2.91047E+12,3.20482E+12,3.57E+12,4.02414E+12,4.59681E+12,5.04043E+12,5.51417E+12,6.10065E+12,6.6826E+12,7.20763E+12,7.76683E+12,8.33341E+12,8.90843E+12,9.50706E+12,1.01589E+13
344,1.04113E+11,1.1005E+11,1.16911E+11,1.24161E+11,1.31655E+11,1.3478E+11,1.4052E+11,1.47686E+11,1.38998E+11,1.42483E+11,1.53402E+11,1.54262E+11,1.56818E+11,1.61611E+11,1.75671E+11,1.8865E+11,2.01917E+11,2.1497E+11,2.19545E+11,2.14146E+11,2.28639E+11,2.39647E+11,2.43722E+11,2.51281E+11,2.58222E+11,2.64388E+11,2.70039E+11,2.80363E+11
446,7405645258,7676684508,8697663634,9148720176,9537832441,9852135759,9810898318,9783494804,9336227173,9116029811,9639956788,9918397630,10805795643,12065035540,15293098911,16525640208,18725939660,21431397766,22158692295,22451407636,28123582424,34218617212,37379449455,41566018991,41066763987,32198599394,31920687237,34824226044
170,1.48191E+11,1.51157E+11,1.57271E+11,1.66252E+11,1.74809E+11,1.83904E+11,1.87684E+11,1.94122E+11,1.95229E+11,1.87021E+11,1.92491E+11,1.95721E+11,2.00622E+11,2.08483E+11,2.19601E+11,2.29937E+11,2.45337E+11,2.62267E+11,2.71569E+11,2.76054E+11,2.87018E+11,3.05931E+11,3.18303E+11,3.33817E+11,3.48484E+11,3.5912E+11,3.66457E+11,3.72936E+11
174,668796695.7,680707464,738778096.6,760985304.2,720830529.4,746852511.5,736844687.8,767939533.7,776770838.3,791684838.4,810641838.2,829286600.5,848360192.3,866175756.3,882633095.7,907346822.4,931795435.4,781816388,838369544.4,865538927.8,907093955.2,960505032.1,1021119044,1112277094,1155607998,1178628457,1227185154,1269173703
178,6694217260,6854568362,7033606127,6964699068,6582122874,6844441821,7281937910,7104479657,7360124962,7168610610,7711527442,8005308212,8372164106,8439809084,8741136711,9409557819,10637215354,9933670459,10560125007,11897542964,13678011910,13836493802,15164297694,14781352233,16217767712,14081141821,13682760539,13257903064
184,171597442.5,183834835.8,194816290.5,202401459.5,210331044.5,201127919.9,200578417.8,195868036.1,194356267.7,199567589.8,227256096.3,236543031,244206723.3,254722261.2,260329164.7,257361437.3,270240004.2,269696128.4,260217951,262982108.4,255145820,257664627,269728779.6,265932844.2,282296693.7,292989767.3,310283166.6,316232449.8
188,15237694044,15582421359,17015468242,18221442488,19039087263,19823782558,20069164582,21186002662,22660908663,23554508418,24457391982,25311069795,26144247736,27256810143,28438822106,29539652885,31677654014,34265051897,35858239145,35510217610,37268635236,38873833243,40738579893,41662949433,43127543162,44693802261,46551438254,48037268794
384,17390564255,17400411687,17292089939,17223157918,17592436604,18833212989,20103531669,21245745111,22335407734,22769443131,22298482157,22325549130,21953231268,21654775974,21921504334,22298830566,22636845686,23036394339,23624223695,24392354395,24884503951,23839698766,26247924829,28685142914,31200640274,33959670911,36666849616,39490963312
191,54586627855,43075055246,38029584846,34977426314,37030824594,39561437124,41885150367,44668629912,45500294372,45074649502,46775137316,48389994157,50932095484,53774723697,55879757840,58176170299,61008085546,64231542418,65539597376,60760814287,59865854205,59662198722,58289593143,58002944004,57952198376,59343392497,61441842441,63236782602
192,44720438038,39938616923,35313484262,30059480368,30274985812,31018903074,33450397354,34378701587,34434272434,36566024365,38729085725,39962623004,40532291962,42069842439,44497339710,49480960435,55452115783,59478291465,61927745998,62826231727,64328000000,66130664082,68124437665,69996226460,70729490571,73868565770,74248073998,75572286635
531,,,,,,,,,,,,,,,,2785684975,2831256966,2901187893,2964667230,2948915659,2951342770,2969422988,2965297920,2941750282,2908248514,2916353674,2887581787,2837344656
196,11702505507,11781462171,12892495225,12982731411,13732819716,15095657510,15284123110,15687675242,16646426106,17478429549,18521016481,19253025878,19969804394,20493746709,21523751609,22568325177,23632102901,24836931828,25742705714,25223928655,25560729794,25663902459,24925270940,23479794088,23171865402,23626540318,24763426271,25811310901
203,1.4455E+11,1.2776E+11,1.27113E+11,1.27192E+11,1.30892E+11,1.39036E+11,1.44907E+11,1.44045E+11,1.43572E+11,1.45629E+11,1.51842E+11,1.56259E+11,1.58841E+11,1.64564E+11,1.72639E+11,1.83918E+11,1.96523E+11,2.07534E+11,2.131E+11,2.02866E+11,2.07478E+11,2.11166E+11,2.09477E+11,2.08464E+11,2.14124E+11,2.25493E+11,2.31018E+11,2.40919E+11
200,1.9556E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,16347309715,15625220189,14518330500,13868067228,13575348413,12981510052,12546305501,11732881358,11626798790,12333486974,12384311399,12849478559,13003818661,13240252576,13515143172,14023434086,13879594898,13714893894,14139830885,14011346367,13945167273,14056336950,14240219624,14392879580,14543019316,14376871520,14933046602,14412994664
180,24302333170,22255821179,19918958049,17236063522,16563857596,16679804405,16509141210,15581815055,15328742376,14674183489,13660154116,13373226117,13767316496,14535168346,15514731240,16466617779,17342793661,18428357283,19575691740,20134591470,21565746507,23048333679,24681732297,26775232158,29310798618,31338171450,32090341000,33277637736
208,2.29127E+11,2.3232E+11,2.36866E+11,2.36892E+11,2.49524E+11,2.57078E+11,2.64534E+11,2.7316E+11,2.79219E+11,2.8745E+11,2.98221E+11,3.00676E+11,3.02078E+11,3.03256E+11,3.11348E+11,3.18623E+11,3.31091E+11,3.34101E+11,3.3239E+11,3.16081E+11,3.21995E+11,3.263E+11,3.27039E+11,3.30091E+11,3.35436E+11,3.43294E+11,3.51532E+11,3.59485E+11
