"geographicAreaM49","measuredItemParentCPC_tree","measuredItemChildCPC_tree","timePointYears","Value","flagObservationStatus","flagMethod","measuredElementSuaFbs"
"348","0112","23140.03","2018",0,"I","c","5431"
"348","0112","23140.03","2019",0,"I","c","5431"
"348","0112","23140.08","2000",0,"I","c","5431"
"348","0112","23140.08","2001",0,"I","c","5431"
"348","0112","23140.08","2002",0,"I","c","5431"
"348","0112","23140.08","2003",0,"I","c","5431"
"348","0112","23140.08","2004",0,"I","c","5431"
"348","0112","23140.08","2005",0,"I","c","5431"
"348","0112","23140.08","2006",0,"I","c","5431"
"348","0112","23140.08","2007",0,"I","c","5431"
"348","0112","23140.08","2008",0,"I","c","5431"
"348","0112","23140.08","2009",0,"I","c","5431"
"348","0112","23140.08","2010",0.000611911994115628,"I","c","5431"
"348","0112","23140.08","2011",0.000776093279832941,"I","c","5431"
"348","0112","23140.08","2012",0.000763429567606223,"I","c","5431"
"348","0112","23140.08","2013",0.000674456917083556,"I","c","5431"
"348","0112","23140.08","2014",0.00067920010470974,"I","c","5431"
"348","0112","23140.08","2015",0.000659572953141009,"I","c","5431"
"348","0112","23140.08","2016",0.000647707925894329,"I","c","5431"
"348","0112","23140.08","2017",0.000555373448249823,"I","c","5431"
"348","0112","23140.08","2018",0.00062088477576172,"I","c","5431"
"348","0112","23140.08","2019",0.000607988716635291,"I","c","5431"
"348","0112","23220.04","2000",0,"I","c","5431"
"348","0112","23220.04","2001",0,"I","c","5431"
"348","0112","23220.04","2002",0,"I","c","5431"
"348","0112","23220.04","2003",0,"I","c","5431"
"348","0112","23220.04","2004",0,"I","c","5431"
"348","0112","23220.04","2005",0,"I","c","5431"
"348","0112","23220.04","2006",0,"I","c","5431"
"348","0112","23220.04","2007",0,"I","c","5431"
"348","0112","23220.04","2008",0,"I","c","5431"
"348","0112","23220.04","2009",0,"I","c","5431"
"348","0112","23220.04","2010",0,"I","c","5431"
"348","0112","23220.04","2011",0,"I","c","5431"
"348","0112","23220.04","2012",0,"I","c","5431"
"348","0112","23220.04","2013",0,"I","c","5431"
"348","0112","23220.04","2014",0,"I","c","5431"
"348","0112","23220.04","2015",0,"I","c","5431"
"348","0112","23220.04","2016",0,"I","c","5431"
"348","0112","23220.04","2017",0,"I","c","5431"
"348","0112","23220.04","2018",0,"I","c","5431"
"348","0112","23220.04","2019",0,"I","c","5431"
"348","0112","24110","2000",0.0371923439853716,"I","c","5431"
"348","0112","24110","2001",0.0197243578938435,"I","c","5431"
"348","0112","24110","2002",0.0238838759989796,"I","c","5431"
"348","0112","24110","2003",0.0380473375725071,"I","c","5431"
"348","0112","24110","2004",0.00817813214427974,"I","c","5431"
"348","0112","24110","2005",0.00952022498750122,"I","c","5431"
"348","0112","24110","2006",0,"I","c","5431"
"348","0112","24110","2007",0.000335174113327934,"I","c","5431"
"348","0112","24110","2008",0.0253496889978395,"I","c","5431"
"348","0112","24110","2009",0.0227213916085278,"I","c","5431"
"348","0112","24110","2010",0.0438433460633698,"I","c","5431"
"348","0112","24110","2011",0.0457765560187906,"I","c","5431"
"348","0112","24110","2012",0.0468739673784267,"I","c","5431"
"348","0112","24110","2013",0.0478740384603373,"I","c","5431"
"348","0112","24110","2014",0.040766220772614,"I","c","5431"
"348","0112","24110","2015",0.0413604800568337,"I","c","5431"
"348","0112","24110","2016",0.0570365778421477,"I","c","5431"
"348","0112","24110","2017",0.0586822415272299,"I","c","5431"
"348","0112","24110","2018",0.0523597664754038,"I","c","5431"
"348","0112","24110","2019",0.0560261952815938,"I","c","5431"
"348","0112","2413","2000",0.0106928528341073,"I","c","5431"
"348","0112","2413","2001",0.00665392935373776,"I","c","5431"
"348","0112","2413","2002",0.0147530420877283,"I","c","5431"
"348","0112","2413","2003",0.012396531434864,"I","c","5431"
"348","0112","2413","2004",0.00366470455262231,"I","c","5431"
"348","0112","2413","2005",0.00767395668933539,"I","c","5431"
"348","0112","2413","2006",0,"I","c","5431"
"348","0112","2413","2007",0.00017605061371508,"I","c","5431"
"348","0112","2413","2008",0.0137959288191921,"I","c","5431"
"348","0112","2413","2009",0.0189548186375623,"I","c","5431"
"348","0112","2413","2010",0.00577983817895053,"I","c","5431"
"348","0112","2413","2011",0.00546654452652084,"I","c","5431"
"348","0112","2413","2012",0.00551648388144862,"I","c","5431"
"348","0112","2413","2013",0.00542801948821821,"I","c","5431"
"348","0112","2413","2014",0.00588936348602203,"I","c","5431"
"348","0112","2413","2015",0.00490333027047051,"I","c","5431"
"348","0112","2413","2016",0.00565440122113097,"I","c","5431"
"348","0112","2413","2017",0.00571265154967026,"I","c","5431"
"348","0112","2413","2018",0.00542346101375725,"I","c","5431"
"348","0112","2413","2019",0.00559683792818616,"I","c","5431"
"348","0112","24310.01","2000",0.135208799830492,"I","c","5431"
"348","0112","24310.01","2001",0.0796255452100269,"I","c","5431"
"348","0112","24310.01","2002",0.115109044782318,"I","c","5431"
"348","0112","24310.01","2003",0.121009171307194,"I","c","5431"
"348","0112","24310.01","2004",0.0388075609763857,"I","c","5431"
"348","0112","24310.01","2005",0.0694386942210942,"I","c","5431"
"348","0112","24310.01","2006",0,"I","c","5431"
"348","0112","24310.01","2007",0.00253346625049476,"I","c","5431"
"348","0112","24310.01","2008",0.0836920374802785,"I","c","5431"
"348","0112","24310.01","2009",0.114544937308933,"I","c","5431"
"348","0112","24310.01","2010",0.0363721011053222,"I","c","5431"
"348","0112","24310.01","2011",0.0370001300827481,"I","c","5431"
"348","0112","24310.01","2012",0.0371402607866585,"I","c","5431"
"348","0112","24310.01","2013",0.0348744930347894,"I","c","5431"
"348","0112","24310.01","2014",0.0317526104708831,"I","c","5431"
"348","0112","24310.01","2015",0.0272586804906087,"I","c","5431"
"348","0112","24310.01","2016",0.0287861852842326,"I","c","5431"
"348","0112","24310.01","2017",0.028142885000013,"I","c","5431"
"348","0112","24310.01","2018",0.0280625835916181,"I","c","5431"
"348","0112","24310.01","2019",0.0283305512919545,"I","c","5431"
"348","0113","23161.02","2000",1,"I","c","5431"
"348","0113","23161.02","2001",1,"I","c","5431"
"348","0113","23161.02","2002",1,"I","c","5431"
"348","0113","23161.02","2003",1,"I","c","5431"
"348","0113","23161.02","2004",1,"I","c","5431"
"348","0113","23161.02","2005",1,"I","c","5431"
"348","0113","23161.02","2006",1,"I","c","5431"
"348","0113","23161.02","2007",1,"I","c","5431"
"348","0113","23161.02","2008",1,"I","c","5431"
"348","0113","23161.02","2009",1,"I","c","5431"
"348","0113","23161.02","2010",1,"I","c","5431"
"348","0113","23161.02","2011",1,"I","c","5431"
"348","0113","23161.02","2012",1,"I","c","5431"
"348","0113","23161.02","2013",1,"I","c","5431"
"348","0113","23161.02","2014",1,"I","c","5431"
